matter_id,client,represented_side,counterparty,matter_type,governing_law,institution_seat,responsible_lawyer_team
DIS-SV-2024-0417,Helios E-Mobility GmbH,Claimant,Castor Energy Storage S.p.A. (Respondent),Product-defect / breach of supply agreement,German law (BGB/HGB); CISG excluded,"DIS Rules 2018; seat Frankfurt am Main, Germany; language English","Kanwar V, Osborne Clarke, Cologne"
CIETAC-2021-JV018,Palisade Real Estate GmbH,Claimant,Zenith Automotive Parts KK (Respondent),Joint venture dispute / deadlock,Swiss law,"CIETAC Rules 2015; seat Beijing, China; language English","Fernandez P, Uria Menendez, Madrid"
ICC-00003/24,Castor Energy Storage S.p.A.,Claimant,Vantage Steel Corp (Respondent),Breach of manufacturing and supply agreement,Swedish law,"ICC Rules 2021; seat Paris, France; language English","Rossi G, BonelliErede, Milan"
ICDR-2025-000013,Cinder Ridge Mining Corp,Respondent,Novatek Industrial Group (Claimant),Product-defect / breach of supply agreement,Swedish law,"ICDR Rules 2021; seat New York, USA; language English","Osei K, Bowmans, Johannesburg"
ICDR-2021-000011,Broadmoor Infrastructure Ltd,Respondent,Coral Bay Hospitality Ltd (Claimant),Post-M&A earn-out / indemnity claim,Austrian law; CISG excluded,"ICDR Rules 2021; seat New York, USA; language English","Schmidt L, Hengeler Mueller, Frankfurt"
LCIA-20230007,Vantage Steel Corp,Claimant,Brightwell Renewables GmbH (Respondent),Pharmaceutical supply and quality dispute,Indian law,"LCIA Rules 2020; seat London, England; language English","O'Brien S, Matheson, Dublin"
ICDR-2021-000041,Solstice Energy Partners,Respondent,Redcliff Pharmaceuticals Inc (Claimant),Post-M&A earn-out / indemnity claim,New York law,"ICDR Rules 2021; seat New York, USA; language English","Fernandez P, Uria Menendez, Madrid"
ARB024/25,Marbella Hotels & Resorts,Claimant,Larkspur Biotech AG (Respondent),Breach of long-term service agreement,English law,SIAC Rules 2016; seat Singapore; language English,"Silva R, Pinheiro Neto, Sao Paulo"
AFSA-2021-015,BluePeak Logistics B.V.,Respondent,Brightwell Renewables GmbH (Claimant),Breach of framework supply agreement,Dutch law; CISG applies,"AFSA Rules 2021; seat Johannesburg, South Africa; language English","O'Brien S, Matheson, Dublin"
ICC-00014/23,Sundara Textiles Pvt Ltd,Claimant,Kestrel Mining Corp (Respondent),Energy offtake agreement dispute,Chinese law (PRC),"ICC Rules 2021; seat Geneva, Switzerland; language English","Tan W, Rajah & Tann, Singapore"
SCAI-2022-011,Lumen Optics Corp,Respondent,Brightwell Renewables GmbH (Claimant),Telecom infrastructure dispute,Korean law,"Swiss Rules 2021; seat Zurich, Switzerland; language English","Silva R, Pinheiro Neto, Sao Paulo"
CIETAC-2021-INS033,Nordwind Turbines AG,Respondent,Vesper Insurance Group (Claimant),Insurance/reinsurance coverage dispute,Austrian law; CISG excluded,"CIETAC Rules 2015; seat Beijing, China; language English","Nakamura T, Nishimura & Asahi, Tokyo"
LCIA-20260021,Orion Data Centers LLC,Respondent,Novatek Industrial Group (Claimant),Breach of manufacturing and supply agreement,Italian law; CISG excluded,"LCIA Rules 2020; seat London, England; language English","Osei K, Bowmans, Johannesburg"
ICC-00016/22,Highbank Financial Services,Respondent,Ebonwood Timber Co (Claimant),Post-M&A earn-out / indemnity claim,Japanese law,"ICC Rules 2021; seat Geneva, Switzerland; language English","Larsson E, Mannheimer Swartling, Stockholm"
KCAB-2024-0024,Zenith Automotive Parts KK,Respondent,Andaman Shipping Pte Ltd (Claimant),Breach of manufacturing and supply agreement,New York law,"KCAB International Rules 2016; seat Seoul, South Korea; language English","Reyes M, Freshfields, London"
ACICA-2022-011,Kessler Industrial Equipment GmbH,Respondent,Amberline Cosmetics SA (Claimant),Joint venture dispute / deadlock,Chinese law (PRC),"ACICA Rules 2021; seat Sydney, Australia; language English","Nakamura T, Nishimura & Asahi, Tokyo"
SCC-EA-2025/030,Granite Peak Mining AG,Claimant,Marlowe Chemicals Ltd (Respondent),Charterparty / shipping dispute,Swiss law,"SCC Rules 2017; seat Stockholm, Sweden; language English","Fernandez P, Uria Menendez, Madrid"
AFSA-2026-022,Redcliff Pharmaceuticals Inc,Respondent,Tundra Foods AB (Claimant),Post-M&A earn-out / indemnity claim,Singapore law,"AFSA Rules 2021; seat Johannesburg, South Africa; language English","Osei K, Bowmans, Johannesburg"
DIS-TEL-2026-0017,Aster Consumer Goods Ltd,Claimant,Ironoak Furniture Ltd (Respondent),Telecom infrastructure dispute,Australian law (NSW),"DIS Rules 2018; seat Frankfurt am Main, Germany; language English","Dubois C, Gide Loyrette Nouel, Paris"
ACICA-2023-033,Blackthorn Steel Works,Claimant,Larkspur Biotech AG (Respondent),Breach of long-term service agreement,Indian law,"ACICA Rules 2021; seat Sydney, Australia; language English","Tan W, Rajah & Tann, Singapore"
SCAI-2025-001,Blackthorn Steel Works,Respondent,Vesper Insurance Group (Claimant),Pharmaceutical supply and quality dispute,German law (BGB/HGB); CISG excluded,"Swiss Rules 2021; seat Zurich, Switzerland; language English","Dubois C, Gide Loyrette Nouel, Paris"
KCAB-2023-0016,Meridian Capital Partners LLP,Claimant,Palisade Real Estate GmbH (Respondent),Energy offtake agreement dispute,New York law,"KCAB International Rules 2016; seat Seoul, South Korea; language English","Kim S, Kim & Chang, Seoul"
ACICA-2025-009,Andaman Shipping Pte Ltd,Respondent,Sundara Textiles Pvt Ltd (Claimant),Construction delay and defects claim,Korean law,"ACICA Rules 2021; seat Sydney, Australia; language English","Tan W, Rajah & Tann, Singapore"
